episode,episode_reward,avg_total_q,avg_total_w,switches
0,-2150.2500000000005,2.19,18.855,301
1,-1738.9499999999998,1.8166666666666667,14.065,339
2,-1297.7499999999989,1.4533333333333334,8.028333333333334,368
3,-1885.100000000001,2.005,14.366666666666667,401
4,-1379.9999999999998,1.4733333333333334,10.31,386
5,-1606.5999999999992,1.73,11.703333333333333,384
6,-1749.5000000000007,1.8383333333333334,13.866666666666667,371
7,-1229.1999999999998,1.3583333333333334,8.013333333333334,400
8,-1592.4499999999994,1.7266666666666666,11.291666666666666,341
9,-1579.7500000000002,1.6983333333333333,11.528333333333334,366
10,-1261.3,1.4033333333333333,7.983333333333333,415
11,-1520.7000000000005,1.6783333333333332,10.03,477
12,-1331.0499999999995,1.5016666666666667,7.9783333333333335,400
13,-1292.5499999999997,1.3833333333333333,9.575,307
14,-1155.4500000000003,1.2583333333333333,8.025,303
15,-1414.3500000000004,1.5383333333333333,9.955,288
16,-1459.6,1.5916666666666666,10.173333333333334,294
17,-1058.1499999999996,1.1666666666666667,7.0216666666666665,277
18,-1023.9500000000002,1.1633333333333333,5.951666666666667,251
19,-1234.3000000000004,1.4016666666666666,7.233333333333333,285
