episode,episode_reward,avg_total_q,avg_total_w,switches,collisions_sum,arrivals_sum
0,-1496.8000000000015,1.6866666666666668,11.983333333333333,284,0,246
1,-1466.700000000004,1.66,11.606666666666667,304,0,244
2,-1492.5500000000006,1.6266666666666667,13.308333333333334,294,0,244
3,-1535.4500000000025,1.6466666666666667,14.241666666666667,299,0,246
4,-1117.5000000000002,1.33,7.908333333333333,205,0,245
5,-1270.1000000000017,1.4283333333333332,10.665,165,0,245
6,-1108.9499999999998,1.3266666666666667,7.713333333333333,146,0,245
7,-1783.7000000000016,1.9733333333333334,14.693333333333333,155,0,244
8,-1044.9000000000003,1.27,6.968333333333334,224,0,245
9,-1097.8999999999985,1.3366666666666667,7.08,164,0,242
10,-1698.750000000001,1.905,13.511666666666667,123,0,244
11,-1461.9500000000025,1.635,12.11,169,0,245
12,-915.2999999999973,1.155,5.386666666666667,142,0,244
13,-1339.8000000000022,1.6083333333333334,8.656666666666666,214,0,244
14,-1069.8999999999994,1.3416666666666666,6.058333333333334,118,0,243
15,-2226.9000000000046,2.2,24.08,114,0,246
16,-973.3999999999977,1.22,5.785,218,0,245
17,-2140.1500000000055,2.16,22.073333333333334,144,0,243
18,-1232.9500000000003,1.4833333333333334,8.096666666666666,215,0,245
19,-1365.0500000000022,1.6133333333333333,9.368333333333334,258,0,244
20,-1106.8500000000006,1.3683333333333334,6.628333333333333,281,0,242
21,-1031.3499999999972,1.2883333333333333,6.025,294,0,244
22,-1259.9000000000003,1.4833333333333334,8.99,229,0,242
23,-1171.8000000000018,1.435,7.206666666666667,289,0,244
24,-1151.4000000000017,1.3933333333333333,7.526666666666666,276,0,244
25,-1432.2500000000027,1.685,9.9,302,0,245
26,-1264.4500000000035,1.4883333333333333,9.015,273,0,244
27,-1276.0000000000011,1.525,8.52,277,0,244
28,-892.5499999999971,1.14,4.99,278,0,245
29,-1366.7500000000002,1.635,8.891666666666667,282,0,242
30,-1111.899999999999,1.3683333333333334,6.821666666666666,247,0,245
31,-1057.1999999999994,1.3116666666666668,6.326666666666667,300,0,244
32,-1471.0000000000007,1.735,9.966666666666667,302,0,242
33,-1185.5500000000013,1.455,7.185,299,0,244
34,-1130.8999999999996,1.3916666666666666,6.895,288,0,245
35,-1195.1999999999996,1.4716666666666667,7.086666666666667,312,0,244
36,-1115.5499999999993,1.3683333333333334,6.985,275,0,246
37,-1142.050000000001,1.4033333333333333,6.986666666666666,291,0,245
38,-1356.2000000000037,1.6316666666666666,8.601666666666667,318,0,243
39,-1028.2999999999988,1.2916666666666667,5.875,279,0,245
40,-1130.8999999999996,1.3916666666666666,6.895,280,0,245
41,-1068.7499999999995,1.3233333333333333,6.43,314,0,243
42,-1515.3500000000033,1.72,11.86,87,0,245
43,-1156.5000000000002,1.3633333333333333,8.456666666666667,149,0,244
44,-1052.699999999999,1.325,5.876666666666667,263,0,244
45,-1528.4500000000025,1.7516666666666667,11.503333333333334,290,0,243
46,-968.3499999999973,1.2166666666666666,5.665,275,0,244
47,-1099.0999999999995,1.3483333333333334,6.915,278,0,245
48,-1175.600000000001,1.4416666666666667,7.151666666666666,296,0,243
49,-921.4999999999975,1.165,5.3966666666666665,262,0,246
50,-989.5999999999977,1.2433333333333334,5.711666666666667,291,0,243
51,-1046.5499999999988,1.3033333333333332,6.203333333333333,294,0,245
52,-1054.3499999999985,1.3116666666666668,6.261666666666667,259,0,244
53,-1175.300000000001,1.4416666666666667,7.151666666666666,218,0,243
54,-954.5499999999968,1.195,5.725,215,0,244
55,-1241.2500000000014,1.51,7.7316666666666665,233,0,244
56,-1112.450000000001,1.3783333333333334,6.61,231,0,245
57,-1163.600000000001,1.4266666666666667,7.125,275,0,245
58,-944.7999999999976,1.18,5.781666666666666,277,0,245
59,-1030.7499999999995,1.2833333333333334,6.168333333333333,236,0,246
60,-1151.0,1.4166666666666667,6.921666666666667,264,0,243
61,-1136.5500000000006,1.3966666666666667,6.94,263,0,243
