episode,episode_reward,avg_total_q,avg_total_w,switches,collisions_sum,arrivals_sum
0,-983.699999999998,1.1316666666666666,8.163333333333334,317,0,242
1,-1002.4999999999969,1.2316666666666667,6.391666666666667,288,0,243
2,-1109.3500000000008,1.275,8.943333333333333,279,0,243
3,-987.8999999999975,1.1733333333333333,7.335,267,0,243
4,-803.7499999999985,1.02,4.845,218,0,242
5,-1159.1000000000006,1.4166666666666667,7.2,249,0,242
6,-857.1499999999975,1.075,5.335,277,0,242
7,-821.1499999999976,1.0266666666666666,5.325,191,0,242
8,-933.4999999999976,1.15,6.12,212,0,242
9,-959.0499999999977,1.1883333333333332,6.043333333333333,227,0,243
10,-859.1499999999978,1.0783333333333334,5.321666666666666,249,0,242
11,-1060.5499999999997,1.285,7.116666666666666,228,0,243
12,-997.0499999999973,1.2533333333333334,5.75,214,0,243
13,-656.6499999999984,0.8566666666666667,3.9116666666666666,228,0,242
14,-851.4999999999973,1.075,5.198333333333333,224,0,243
15,-975.4499999999971,1.2183333333333333,5.868333333333333,235,0,242
16,-798.049999999997,1.0066666666666666,5.056666666666667,219,0,243
17,-623.3499999999984,0.8216666666666667,3.7016666666666667,172,0,242
18,-1096.4000000000028,1.3383333333333334,7.031666666666666,207,0,243
19,-1057.7000000000005,1.2983333333333333,6.711666666666667,205,0,243
20,-629.1499999999992,0.8366666666666667,3.4616666666666664,188,0,240
21,-946.1999999999986,1.1816666666666666,5.71,205,0,240
22,-774.4999999999994,0.975,4.986666666666666,205,0,240
23,-699.3499999999991,0.9133333333333333,3.941666666666667,231,0,240
24,-953.3999999999984,1.1866666666666668,5.821666666666666,283,0,241
25,-665.9499999999981,0.8716666666666667,3.808333333333333,213,0,240
26,-843.5999999999984,1.0716666666666668,4.95,198,0,240
27,-853.1999999999991,1.0733333333333333,5.221666666666667,235,0,241
28,-831.0999999999988,1.045,5.155,222,0,241
29,-1019.2999999999987,1.26,6.246666666666667,234,0,240
30,-841.5499999999981,1.0583333333333333,5.235,192,0,242
31,-964.0499999999984,1.2016666666666667,5.848333333333334,208,0,242
32,-599.2999999999993,0.7833333333333333,3.7266666666666666,235,0,240
33,-676.8499999999984,0.865,4.33,215,0,239
34,-968.5499999999984,1.205,5.886666666666667,235,0,241
35,-580.6999999999991,0.75,3.861666666666667,214,0,237
36,-575.6499999999984,0.7766666666666666,3.14,153,0,241
37,-807.3499999999991,1.0233333333333334,4.913333333333333,198,0,241
38,-952.7999999999981,1.1883333333333332,5.78,202,0,240
39,-936.7999999999986,1.17,5.673333333333333,189,0,238
40,-1249.7999999999995,1.5266666666666666,7.516666666666667,251,0,238
41,-1146.8,1.3616666666666666,8.093333333333334,180,0,238
42,-1147.799999999999,1.4166666666666667,6.715,247,0,237
43,-962.8499999999982,1.1866666666666668,6.161666666666667,190,0,238
44,-959.0499999999982,1.165,6.546666666666667,211,0,239
45,-1105.3999999999985,1.3366666666666667,7.2716666666666665,201,0,237
46,-990.1999999999981,1.245,5.663333333333333,189,0,238
47,-1163.349999999998,1.4066666666666667,7.533333333333333,216,0,237
48,-1185.55,1.42,7.953333333333333,227,0,237
49,-990.3999999999977,1.2,6.75,169,0,238
50,-965.6999999999981,1.21,5.678333333333334,207,0,239
51,-919.7999999999979,1.1466666666666667,5.576666666666667,291,0,238
52,-1023.5499999999984,1.285,5.795,249,0,238
53,-1027.7999999999981,1.29,5.805,194,0,237
54,-890.8999999999986,1.1416666666666666,4.8133333333333335,217,0,238
55,-1205.399999999998,1.4583333333333333,7.703333333333333,202,0,236
56,-993.9499999999989,1.2483333333333333,5.6866666666666665,216,0,237
57,-1249.8499999999988,1.4966666666666666,8.266666666666667,227,0,237
58,-975.499999999998,1.2183333333333333,5.815,218,0,239
59,-968.2499999999984,1.2033333333333334,5.89,221,0,237
60,-765.449999999999,0.9633333333333334,4.8966666666666665,198,0,235
61,-578.999999999999,0.765,3.4633333333333334,209,0,236
62,-596.1499999999994,0.7683333333333333,3.993333333333333,154,0,235
63,-755.1499999999988,0.9466666666666667,4.983333333333333,161,0,235
64,-829.7499999999985,1.0566666666666666,4.8116666666666665,203,0,236
65,-814.2999999999986,0.98,6.165,140,0,235
66,-573.2499999999995,0.7616666666666667,3.3916666666666666,215,0,236
67,-593.8999999999997,0.79,3.388333333333333,174,0,235
68,-887.7499999999977,1.0883333333333334,6.025,196,0,236
69,-354.5499999999994,0.505,2.29,125,0,235
70,-544.7999999999993,0.7183333333333334,3.4516666666666667,188,0,235
71,-877.1499999999987,1.0866666666666667,5.711666666666667,171,0,236
72,-907.8499999999993,1.08,6.863333333333333,194,0,235
73,-826.5499999999995,0.9983333333333333,6.123333333333333,231,0,235
74,-570.3999999999997,0.7633333333333333,3.256666666666667,158,0,236
75,-780.0999999999983,0.99,4.775,188,0,235
76,-627.1499999999996,0.805,4.156666666666666,138,0,235
77,-400.7499999999996,0.5683333333333334,2.2816666666666667,164,0,236
78,-565.9499999999994,0.7516666666666667,3.3383333333333334,235,0,236
79,-1304.7000000000023,1.3683333333333334,13.211666666666666,160,0,235
80,-966.8499999999981,1.2183333333333333,5.491666666666666,369,0,242
