episode,episode_reward,avg_total_q,avg_total_w,switches
0,-3970.5000000000027,4.123333333333333,33.08,297
1,-3903.2000000000003,4.066666666666666,32.166666666666664,290
2,-3770.7500000000027,4.016666666666667,28.911666666666665,281
3,-6822.100000000004,6.34,74.90333333333334,284
4,-3418.499999999999,3.635,26.34,298
5,-3572.549999999997,3.9483333333333333,23.895,361
6,-6134.8,5.678333333333334,67.84333333333333,308
7,-2811.500000000001,3.1633333333333336,17.366666666666667,348
8,-2955.1000000000013,3.23,20.543333333333333,371
9,-3170.4000000000015,3.6033333333333335,18.73,387
10,-2680.1500000000005,3.095,14.578333333333333,339
11,-3180.4500000000035,3.6083333333333334,18.935,386
12,-3001.450000000001,3.4466666666666668,16.848333333333333,367
13,-2741.800000000001,3.151666666666667,15.273333333333333,352
14,-3941.2999999999993,4.445,24.216666666666665,363
15,-2518.1000000000004,2.8916666666666666,14.076666666666666,328
16,-2538.3499999999995,2.93,13.831666666666667,368
17,-2448.000000000001,2.84,12.98,383
18,-2265.250000000001,2.598333333333333,12.698333333333334,370
19,-2206.500000000001,2.565,11.55,335
20,-2413.400000000001,2.7983333333333333,12.846666666666666,314
21,-2843.6000000000013,3.29,15.386666666666667,338
22,-2231.4000000000005,2.5716666666666668,12.22,353
23,-1969.4000000000021,2.3033333333333332,9.936666666666667,324
24,-1942.8500000000015,2.2616666666666667,10.061666666666667,324
25,-2189.5000000000023,2.5566666666666666,11.203333333333333,318
26,-2271.5500000000006,2.65,11.698333333333334,321
27,-2013.6999999999998,2.3533333333333335,10.213333333333333,304
28,-2369.8,2.7333333333333334,12.973333333333333,271
29,-2793.5999999999985,3.2116666666666664,15.62,306
