episode,episode_reward,avg_total_q,avg_total_w,switches,collisions_sum,arrivals_sum
0,603.0750000000003,1.4083333333333334,9.821666666666667,184,0,245
1,599.09,1.5816666666666668,11.783333333333333,278,0,246
2,655.6200000000002,1.15,6.666666666666667,323,0,245
3,606.1399999999998,1.1866666666666668,6.333333333333333,363,0,245
4,583.9299999999996,1.0883333333333334,5.816666666666666,283,0,245
5,588.6500000000002,1.6916666666666667,16.863333333333333,159,0,245
6,586.5250000000002,1.25,7.618333333333333,232,0,245
7,573.9149999999997,1.6666666666666667,13.521666666666667,207,0,245
8,539.735,1.9266666666666667,21.901666666666667,141,0,246
9,612.7249999999999,1.7583333333333333,18.558333333333334,189,0,245
10,602.735,1.3416666666666666,10.548333333333334,221,0,244
11,636.9300000000004,0.9266666666666666,5.443333333333333,317,0,245
12,592.9449999999997,1.52,16.438333333333333,213,0,244
13,613.0650000000002,1.6233333333333333,12.291666666666666,182,0,245
14,615.8600000000002,1.4583333333333333,9.033333333333333,186,0,244
15,625.2199999999998,1.375,9.613333333333333,137,0,244
16,588.0250000000001,2.0733333333333333,29.251666666666665,99,0,244
17,577.8649999999997,1.765,16.831666666666667,127,0,245
18,606.025,2.27,28.798333333333332,116,0,245
19,549.9749999999998,2.12,28.748333333333335,91,0,243
20,546.8900000000003,2.955,40.77,114,0,245
21,650.6550000000001,1.9183333333333332,25.328333333333333,155,0,245
22,568.0699999999998,1.8283333333333334,21.836666666666666,216,0,244
23,594.0449999999997,2.2783333333333333,34.405,168,0,245
24,571.3550000000002,2.216666666666667,26.221666666666668,149,0,243
25,540.3650000000001,2.703333333333333,37.278333333333336,134,0,245
26,568.63,2.44,35.916666666666664,147,0,244
27,606.1100000000001,1.715,17.643333333333334,199,0,245
28,648.7900000000002,0.9533333333333334,6.743333333333333,242,0,244
29,534.5900000000003,2.7816666666666667,37.263333333333335,123,0,245
30,641.2750000000004,1.42,13.768333333333333,202,0,245
31,648.9200000000003,1.1183333333333334,9.433333333333334,132,0,244
32,622.0950000000003,1.505,16.448333333333334,241,0,245
33,572.1100000000001,2.4266666666666667,29.843333333333334,117,0,244
34,560.2350000000005,1.5283333333333333,15.368333333333334,128,0,245
35,553.3449999999999,2.3933333333333335,28.525,182,0,242
36,566.5250000000001,2.165,28.405,146,0,242
37,605.0400000000001,2.1816666666666666,26.14666666666667,168,0,245
38,545.47,3.37,44.97,132,0,244
39,635.4200000000003,2.0,22.06,203,0,244
40,529.7249999999996,2.555,36.125,105,0,241
41,540.5649999999998,2.9266666666666667,41.718333333333334,79,0,244
42,638.2849999999996,2.0183333333333335,26.058333333333334,128,0,244
43,634.9400000000002,1.52,14.153333333333334,196,0,244
44,659.7900000000001,1.315,15.023333333333333,167,0,244
45,591.7349999999998,2.5366666666666666,30.848333333333333,138,0,245
46,572.675,2.368333333333333,29.528333333333332,148,0,245
47,600.6949999999998,2.15,25.388333333333332,168,0,242
48,617.9199999999997,1.3616666666666666,11.433333333333334,182,0,246
49,426.1750000000001,3.3066666666666666,52.22833333333333,258,0,242
50,551.9599999999998,2.545,31.366666666666667,207,0,243
51,549.8000000000001,2.6433333333333335,34.39333333333333,102,0,245
52,585.6150000000002,1.92,20.261666666666667,316,0,245
53,648.0050000000003,2.02,24.105,211,0,245
54,556.9349999999996,2.308333333333333,29.008333333333333,173,0,243
55,627.5300000000003,1.5633333333333332,14.756666666666666,251,0,244
56,511.2450000000003,2.735,35.17166666666667,216,0,245
57,628.5300000000002,1.7366666666666666,18.696666666666665,294,0,244
58,615.4949999999998,1.4316666666666666,12.615,248,0,244
59,624.0700000000002,1.7233333333333334,16.916666666666668,290,0,244
