episode,episode_reward,avg_total_q,avg_total_w,switches,collisions_sum,arrivals_sum
0,709.8699999999998,2.111666666666667,24.363333333333333,67,0,243
1,678.4350000000003,2.888333333333333,36.535,81,0,244
2,639.0950000000003,2.8,41.38166666666667,55,0,246
3,698.6499999999999,2.405,33.596666666666664,67,0,243
4,661.3349999999999,3.046666666666667,43.315,66,0,244
5,694.9050000000001,1.9783333333333333,24.678333333333335,156,0,244
6,750.1000000000005,1.5416666666666667,12.953333333333333,289,0,244
7,745.7650000000001,1.52,14.285,375,0,245
8,765.2049999999998,1.0466666666666666,6.191666666666666,417,0,246
9,683.5899999999996,1.8166666666666667,15.35,373,0,246
10,745.1050000000002,1.3583333333333334,10.165,391,0,245
11,713.8450000000005,1.38,10.638333333333334,459,0,244
12,785.8100000000007,1.115,6.043333333333333,391,0,244
13,715.5200000000003,1.5833333333333333,12.253333333333334,411,0,246
14,782.2250000000004,1.1383333333333334,8.645,477,0,245
15,760.3900000000001,1.3,10.136666666666667,374,0,246
16,667.2200000000003,2.1066666666666665,23.133333333333333,374,0,245
17,759.55,1.4933333333333334,12.976666666666667,392,0,246
18,688.5750000000003,2.5483333333333333,39.135,315,0,246
19,754.2750000000001,1.1966666666666668,9.408333333333333,432,0,245
