episode,episode_reward,avg_total_q,avg_total_w,switches
0,-1088.5999999999997,1.1816666666666666,7.626666666666667,307
1,-1564.1000000000001,1.6483333333333334,12.286666666666667,305
2,-1250.8999999999999,1.38,8.296666666666667,308
3,-1328.7500000000007,1.4366666666666668,9.491666666666667,318
4,-897.1500000000003,0.9833333333333333,5.995,312
5,-837.6500000000003,0.9333333333333333,5.191666666666666,307
6,-1386.7500000000005,1.5116666666666667,9.625,341
7,-1023.5999999999999,1.1616666666666666,5.92,336
8,-1255.7499999999998,1.4066666666666667,7.778333333333333,355
9,-1198.3500000000001,1.3433333333333333,7.395,313
10,-791.3999999999997,0.8983333333333333,4.51,310
11,-771.5999999999998,0.8666666666666667,4.6,312
12,-891.25,1.0116666666666667,5.108333333333333,293
13,-905.1999999999998,1.0233333333333334,5.273333333333333,360
14,-821.8500000000004,0.9316666666666666,4.725,280
