episode,episode_reward,avg_total_q,avg_total_w,switches
0,-2906.6000000000004,3.2316666666666665,15.953333333333333,310
1,-2712.099999999998,2.9833333333333334,15.218333333333334,247
2,-6396.199999999995,5.138333333333334,55.08,259
3,-2550.399999999996,2.9166666666666665,13.173333333333334,311
4,-2335.8999999999996,2.7583333333333333,11.185,282
5,-2134.6000000000013,2.56,9.803333333333333,281
6,-1962.3999999999992,2.3333333333333335,9.206666666666667,272
7,-2076.199999999999,2.4916666666666667,9.54,251
8,-1900.2999999999993,2.31,8.395,301
9,-1690.4000000000005,2.0716666666666668,7.293333333333333,289
10,-1761.3999999999999,2.165,7.553333333333334,273
11,-1965.7999999999993,2.3783333333333334,8.83,217
12,-1807.099999999999,2.216666666666667,7.805,208
13,-1765.299999999999,2.145,7.8116666666666665,229
14,-2371.700000000001,2.8383333333333334,10.978333333333333,230
15,-2490.399999999999,2.9433333333333334,11.916666666666666,245
16,-2568.6000000000017,3.078333333333333,11.863333333333333,221
17,-1964.7999999999981,2.3933333333333335,8.653333333333334,205
18,-1492.0999999999995,1.83,6.431666666666667,182
19,-1999.7000000000003,2.4116666666666666,9.051666666666666,249
20,-2107.699999999998,2.5183333333333335,9.751666666666667,301
21,-1716.2999999999995,2.08,7.605,296
22,-2649.1000000000017,3.1433333333333335,12.531666666666666,287
23,-2209.2999999999993,2.6733333333333333,9.888333333333334,290
24,-2166.0,2.6016666666666666,9.88,343
25,-2945.1000000000017,3.4433333333333334,14.445,361
26,-2405.7000000000007,2.8716666666666666,11.185,294
27,-1705.2999999999995,2.09,7.371666666666667,179
28,-2037.3999999999996,2.4583333333333335,9.22,248
29,-1737.1999999999982,2.1366666666666667,7.44,200
30,-2652.3999999999987,3.191666666666667,12.103333333333333,293
31,-2156.6999999999994,2.5866666666666664,9.891666666666667,235
32,-1854.899999999998,2.2333333333333334,8.408333333333333,244
33,-2015.6999999999991,2.473333333333333,8.688333333333333,233
34,-1764.5999999999995,2.155,7.69,229
35,-2321.499999999999,2.7716666666666665,10.798333333333334,275
36,-2317.5,2.8116666666666665,10.338333333333333,231
37,-1974.1999999999996,2.3983333333333334,8.743333333333334,228
38,-2398.4999999999986,2.87,11.095,239
39,-2439.299999999998,2.9116666666666666,11.351666666666667,220
40,-1932.3000000000004,2.348333333333333,8.545,215
41,-2495.5999999999985,2.9916666666666667,11.483333333333333,223
42,-2477.9,2.973333333333333,11.378333333333334,222
43,-2501.6999999999994,2.9916666666666667,11.598333333333333,211
44,-2429.799999999999,2.88,11.516666666666667,238
45,-2801.799999999998,3.27,13.82,215
46,-1406.2999999999993,1.755,5.745,184
47,-2509.0999999999985,3.025,11.388333333333334,221
48,-2047.5999999999995,2.455,9.396666666666667,204
49,-1505.2999999999995,1.8433333333333333,6.505,204
