episode,episode_reward,avg_total_q,avg_total_w,switches
0,-1398.9999999999998,1.4583333333333333,11.343333333333334,309
1,-1180.6499999999999,1.2083333333333333,10.035,283
2,-1219.6999999999994,1.3183333333333334,8.706666666666667,292
3,-1093.1499999999999,1.205,7.168333333333333,338
4,-1373.650000000001,1.4733333333333334,10.118333333333334,342
5,-1119.3500000000001,1.2633333333333334,6.711666666666667,288
6,-1003.4999999999998,1.1366666666666667,5.87,293
7,-964.8499999999997,1.0733333333333333,6.141666666666667,285
8,-796.2500000000002,0.9166666666666666,4.281666666666666,261
9,-769.8499999999999,0.9016666666666666,3.7616666666666667,242
10,-913.4500000000003,1.0633333333333332,4.678333333333334,282
11,-940.0000000000006,1.07,5.383333333333334,262
12,-832.6000000000004,0.97,4.233333333333333,228
13,-793.4499999999998,0.93,3.888333333333333,223
14,-941.4499999999997,1.08,5.201666666666667,211
15,-954.8999999999997,1.1033333333333333,5.07,252
16,-998.3500000000003,1.1266666666666667,5.948333333333333,238
17,-893.0999999999999,1.03,4.8,226
18,-819.7500000000002,0.9333333333333333,4.605,296
19,-972.8500000000001,1.085,6.078333333333333,309
20,-1055.4999999999993,1.1966666666666668,6.123333333333333,317
21,-902.2000000000002,1.0433333333333332,4.753333333333333,246
22,-1303.8499999999995,1.4216666666666666,8.991666666666667,338
23,-1111.8000000000004,1.2633333333333334,6.36,423
24,-1146.0499999999995,1.295,6.751666666666667,349
25,-1191.8499999999995,1.3416666666666666,7.168333333333333,332
26,-1188.5999999999995,1.3316666666666668,7.3,283
27,-832.8499999999999,0.9633333333333334,4.291666666666667,301
28,-1026.9499999999998,1.175,5.661666666666667,309
29,-919.0500000000005,1.0533333333333332,5.035,292
30,-928.3,1.0583333333333333,5.203333333333333,329
31,-1042.7999999999997,1.1516666666666666,6.77,371
32,-903.2500000000005,1.04,4.888333333333334,235
33,-725.8000000000006,0.825,4.183333333333334,166
34,-807.0499999999997,0.94,4.131666666666667,159
35,-807.7500000000005,0.9316666666666666,4.355,170
36,-814.6,0.95,4.123333333333333,179
37,-652.7500000000005,0.775,2.9583333333333335,143
38,-736.0500000000002,0.85,3.915,177
39,-787.4999999999998,0.9216666666666666,3.89,212
40,-949.8,1.085,5.39,199
41,-996.4500000000003,1.15,5.365,215
42,-758.8500000000001,0.8933333333333333,3.625,183
43,-741.6500000000001,0.865,3.7316666666666665,182
44,-678.8500000000003,0.8066666666666666,3.058333333333333,160
45,-811.6999999999999,0.9433333333333334,4.176666666666667,209
46,-1072.1500000000008,1.2233333333333334,6.128333333333333,244
47,-928.9499999999996,1.0616666666666668,5.235,220
48,-830.35,0.96,4.408333333333333,162
49,-871.9,1.02,4.3533333333333335,182
50,-797.4999999999999,0.9383333333333334,3.8333333333333335,179
51,-851.0500000000001,0.9866666666666667,4.458333333333333,176
52,-983.7500000000001,1.1233333333333333,5.591666666666667,206
53,-783.8000000000002,0.915,3.9366666666666665,197
54,-874.4500000000002,1.0166666666666666,4.5183333333333335,188
55,-861.9999999999999,1.01,4.263333333333334,159
56,-777.3000000000002,0.9133333333333333,3.77,222
57,-747.8500000000003,0.885,3.4383333333333335,236
58,-905.8000000000003,1.0533333333333332,4.673333333333333,267
59,-810.3000000000001,0.955,3.85,107
