episode,episode_reward,avg_total_q,avg_total_w,switches,collisions_sum,arrivals_sum
0,307.585,2.105,23.871666666666666,287,0,245
1,326.63999999999993,1.5233333333333334,11.146666666666667,328,0,243
2,358.4950000000002,1.3416666666666666,8.235,338,0,245
3,366.93,1.1933333333333334,7.71,320,0,245
4,359.42999999999995,1.3383333333333334,7.9366666666666665,393,0,245
5,353.2449999999999,1.4516666666666667,11.885,384,0,244
6,335.5149999999999,1.785,13.461666666666666,387,0,246
7,377.7400000000001,1.1383333333333334,7.633333333333334,437,0,245
8,317.87499999999994,1.5216666666666667,11.068333333333333,326,0,245
9,332.76000000000005,1.2716666666666667,8.78,338,0,245
10,342.08500000000015,1.245,6.765,330,0,246
11,395.225,1.08,6.051666666666667,337,0,244
12,330.50999999999993,1.495,10.356666666666667,249,0,245
13,403.16,0.975,5.9,267,0,246
14,402.2900000000001,1.3916666666666666,7.823333333333333,323,0,246
15,359.52500000000003,1.57,14.731666666666667,232,0,246
16,348.4300000000001,2.01,21.356666666666666,221,0,244
17,313.32999999999987,2.7916666666666665,37.64333333333333,145,0,245
18,343.2649999999999,2.1083333333333334,23.691666666666666,172,0,245
19,336.23499999999996,2.64,32.295,115,0,245
20,387.45500000000015,1.9666666666666666,19.528333333333332,154,0,245
21,343.2500000000003,2.3766666666666665,29.01,98,0,243
22,350.6550000000001,1.9466666666666668,21.928333333333335,102,0,245
23,349.04,1.875,22.706666666666667,191,0,245
24,365.91000000000014,2.35,34.89,88,0,243
25,391.11999999999995,1.7183333333333333,19.313333333333333,161,0,245
26,367.2400000000003,2.223333333333333,25.246666666666666,173,0,245
27,360.6499999999999,1.6016666666666666,16.57,238,0,245
28,329.1050000000001,2.28,32.725,195,0,245
29,276.51499999999993,2.5033333333333334,35.04833333333333,121,0,244
