episode,episode_reward,avg_total_q,avg_total_w,switches,collisions_sum,arrivals_sum
0,209.88999999999993,3.5483333333333333,52.51,232,0,245
1,209.88999999999993,3.5483333333333333,52.51,294,0,245
2,209.88999999999993,3.5483333333333333,52.51,388,0,245
3,209.88999999999993,3.5483333333333333,52.51,329,0,245
4,209.88999999999993,3.5483333333333333,52.51,281,0,245
5,209.88999999999993,3.5483333333333333,52.51,252,0,245
6,209.88999999999993,3.5483333333333333,52.51,241,0,245
7,209.88999999999993,3.5483333333333333,52.51,338,0,245
8,209.88999999999993,3.5483333333333333,52.51,349,0,245
9,209.88999999999993,3.5483333333333333,52.51,379,0,245
10,209.88999999999993,3.5483333333333333,52.51,413,0,245
11,209.88999999999993,3.5483333333333333,52.51,356,0,245
12,209.88999999999993,3.5483333333333333,52.51,343,0,245
13,209.88999999999993,3.5483333333333333,52.51,338,0,245
14,209.88999999999993,3.5483333333333333,52.51,348,0,245
15,209.88999999999993,3.5483333333333333,52.51,319,0,245
16,209.88999999999993,3.5483333333333333,52.51,266,0,245
17,209.88999999999993,3.5483333333333333,52.51,340,0,245
18,209.88999999999993,3.5483333333333333,52.51,301,0,245
19,209.88999999999993,3.5483333333333333,52.51,280,0,245
20,209.88999999999993,3.5483333333333333,52.51,331,0,245
21,209.88999999999993,3.5483333333333333,52.51,322,0,245
22,209.88999999999993,3.5483333333333333,52.51,293,0,245
23,209.88999999999993,3.5483333333333333,52.51,332,0,245
24,209.88999999999993,3.5483333333333333,52.51,269,0,245
25,209.88999999999993,3.5483333333333333,52.51,315,0,245
26,209.88999999999993,3.5483333333333333,52.51,343,0,245
27,209.88999999999993,3.5483333333333333,52.51,215,0,245
28,209.88999999999993,3.5483333333333333,52.51,308,0,245
29,209.88999999999993,3.5483333333333333,52.51,232,0,245
30,209.88999999999993,3.5483333333333333,52.51,246,0,245
31,209.88999999999993,3.5483333333333333,52.51,248,0,245
32,209.88999999999993,3.5483333333333333,52.51,237,0,245
33,209.88999999999993,3.5483333333333333,52.51,219,0,245
34,209.88999999999993,3.5483333333333333,52.51,218,0,245
35,209.88999999999993,3.5483333333333333,52.51,348,0,245
36,209.88999999999993,3.5483333333333333,52.51,202,0,245
37,209.88999999999993,3.5483333333333333,52.51,144,0,245
38,209.88999999999993,3.5483333333333333,52.51,301,0,245
39,209.88999999999993,3.5483333333333333,52.51,234,0,245
