episode,episode_reward,avg_total_q,avg_total_w,switches,collisions_sum,arrivals_sum
0,309.15500000000003,2.4133333333333336,26.18166666666667,153,0,244
1,387.59500000000014,1.61,18.235,171,0,244
2,347.22,1.64,14.22,184,0,245
3,334.07499999999993,1.575,16.22833333333333,125,0,244
4,302.78499999999997,1.8183333333333334,19.325,152,0,246
5,352.52,2.3716666666666666,27.913333333333334,141,0,245
6,410.66000000000014,1.4416666666666667,10.553333333333333,137,0,245
7,404.31500000000017,1.3766666666666667,13.575,151,0,244
8,380.96999999999997,1.7716666666666667,17.45,158,0,245
9,306.8400000000001,1.7516666666666667,20.9,179,0,242
10,406.1999999999999,1.465,13.606666666666667,150,0,245
11,303.8100000000001,2.1533333333333333,21.656666666666666,161,0,245
12,388.9249999999998,1.5033333333333334,13.538333333333334,195,0,246
13,381.42,1.4366666666666668,14.3,179,0,244
14,261.18,2.0683333333333334,22.226666666666667,163,0,246
15,329.74500000000006,2.005,17.578333333333333,163,0,244
16,373.29499999999985,1.7116666666666667,15.275,124,0,245
17,379.46500000000015,1.5066666666666666,12.358333333333333,142,0,245
18,399.1549999999999,1.7283333333333333,20.575,149,0,244
19,371.46500000000003,1.585,14.705,145,0,245
