episode,episode_reward,avg_total_q,avg_total_w,switches,collisions_sum,arrivals_sum
0,322.4699999999999,1.91,19.716666666666665,265,0,245
1,391.59500000000014,1.6433333333333333,17.748333333333335,237,0,245
2,408.83499999999987,1.3933333333333333,10.321666666666667,200,0,244
3,330.52,2.09,22.993333333333332,217,0,245
4,400.6400000000003,1.66,15.666666666666666,184,0,246
5,324.22000000000014,2.0833333333333335,26.453333333333333,254,0,243
6,369.035,1.9366666666666668,17.421666666666667,253,0,245
7,310.49500000000006,1.98,19.775,244,0,243
8,306.72499999999997,1.9866666666666666,17.97833333333333,238,0,245
9,358.8900000000001,1.9833333333333334,19.583333333333332,272,0,244
