episode,episode_reward,avg_total_q,avg_total_w,switches
0,-2822.3000000000006,3.385,12.961666666666666,299
1,-2798.2,3.25,13.92,306
2,-3201.900000000001,3.645,16.701666666666668,287
3,-2712.5000000000005,3.105,13.948333333333334,295
4,-2423.3,2.921666666666667,10.945,329
5,-2213.3999999999983,2.72,9.453333333333333,319
6,-2526.799999999999,3.0733333333333333,11.136666666666667,349
7,-2114.5999999999985,2.611666666666667,8.89,330
8,-2017.499999999999,2.505,8.341666666666667,348
9,-2294.2000000000007,2.8116666666666665,9.876666666666667,358
10,-2158.6000000000017,2.6783333333333332,8.976666666666667,298
11,-1634.4999999999993,2.0316666666666667,6.7283333333333335,270
12,-1552.3000000000004,1.935,6.345,242
13,-1579.2000000000007,1.9733333333333334,6.3933333333333335,265
14,-1761.5,2.203333333333333,7.131666666666667,252
15,-1575.4999999999989,1.97,6.378333333333333,251
16,-2067.699999999998,2.5483333333333333,8.801666666666666,242
17,-2198.999999999999,2.705,9.393333333333333,303
18,-1580.5000000000002,1.9216666666666666,6.951666666666667,219
19,-2087.1,2.435,10.291666666666666,192
20,-1970.599999999999,2.3633333333333333,9.063333333333333,198
21,-1726.6999999999998,2.138333333333333,7.2316666666666665,227
22,-2046.1999999999987,2.5433333333333334,8.493333333333334,258
23,-1215.3999999999999,1.545,4.67,195
24,-1883.8999999999994,2.3783333333333334,7.441666666666666,231
25,-1512.7,1.9183333333333332,5.875,207
26,-1378.3999999999996,1.7583333333333333,5.23,221
27,-1264.4999999999995,1.615,4.781666666666666,178
28,-2010.299999999999,2.4683333333333333,8.638333333333334,238
29,-1876.6999999999978,2.308333333333333,8.008333333333333,260
30,-1608.8000000000002,1.9766666666666666,6.8966666666666665,199
31,-1670.8999999999994,2.0866666666666664,6.8116666666666665,238
32,-1930.7999999999997,2.24,9.63,186
33,-1326.2999999999986,1.6833333333333333,5.111666666666666,220
34,-2227.300000000001,2.736666666666667,9.565,267
35,-2077.299999999999,2.5766666666666667,8.671666666666667,280
36,-1455.7999999999986,1.8466666666666667,5.6433333333333335,198
37,-2218.2999999999993,2.73,9.501666666666667,261
38,-2112.2,2.5883333333333334,9.143333333333333,258
39,-2045.5000000000002,2.546666666666667,8.468333333333334,205
40,-1779.2999999999986,2.24,7.091666666666667,219
41,-1896.6999999999991,2.3716666666666666,7.725,252
42,-1981.8000000000004,2.4583333333333335,8.283333333333333,242
43,-1678.1999999999994,2.065,7.153333333333333,215
44,-1427.6,1.8166666666666667,5.456666666666667,215
45,-2047.2999999999995,2.42,9.758333333333333,181
46,-1825.0999999999992,2.145,8.831666666666667,170
47,-2095.799999999999,2.4133333333333336,10.65,178
48,-2015.9999999999989,2.4483333333333333,8.97,190
49,-1654.699999999998,2.0633333333333335,6.781666666666666,190
