episode,episode_reward,avg_total_q,avg_total_w,switches,collisions_sum,arrivals_sum
0,-1718.0000000000039,1.8833333333333333,14.226666666666667,301,0,245
1,-1200.8000000000013,1.365,9.406666666666666,339,0,245
2,-1182.4500000000023,1.355,8.995,377,0,243
3,-1190.750000000002,1.34,9.651666666666667,402,0,246
4,-1459.7000000000046,1.645,11.256666666666666,408,0,244
5,-1544.6500000000044,1.7233333333333334,12.238333333333333,391,0,243
6,-1335.6000000000033,1.5133333333333334,10.31,429,0,244
7,-1118.000000000004,1.325,7.616666666666666,296,0,245
8,-1360.050000000003,1.5516666666666667,10.275,241,0,245
9,-1068.000000000002,1.2783333333333333,7.06,288,0,244
10,-1327.000000000003,1.575,8.533333333333333,356,0,243
11,-1291.0500000000022,1.5283333333333333,8.525,234,0,244
12,-1251.400000000004,1.4933333333333334,7.983333333333333,373,0,244
13,-1435.1000000000029,1.6833333333333333,9.596666666666666,230,0,243
14,-1024.3000000000006,1.2016666666666667,7.523333333333333,233,0,245
15,-1305.6000000000024,1.5233333333333334,9.14,300,0,246
16,-1207.9500000000032,1.4466666666666668,7.755,262,0,246
17,-1325.050000000006,1.47,11.108333333333333,228,0,245
18,-1057.3500000000017,1.2933333333333332,6.365,281,0,242
19,-1039.4000000000033,1.26,6.586666666666667,308,0,245
20,-1175.4500000000019,1.4216666666666666,7.211666666666667,301,0,244
21,-1047.7500000000032,1.2716666666666667,6.545,301,0,242
22,-1238.7500000000025,1.485,7.831666666666667,242,0,245
23,-1062.9500000000025,1.3116666666666668,6.161666666666667,266,0,246
24,-956.1500000000018,1.1866666666666668,5.551666666666667,297,0,242
25,-1156.9000000000033,1.41,6.903333333333333,288,0,244
26,-1027.050000000003,1.2583333333333333,6.205,255,0,243
27,-1089.9000000000028,1.3333333333333333,6.48,260,0,243
28,-1045.6000000000029,1.2983333333333333,5.863333333333333,245,0,243
29,-1056.8000000000018,1.2866666666666666,6.536666666666667,215,0,244
30,-1066.150000000002,1.305,6.408333333333333,227,0,245
31,-1013.1000000000015,1.2416666666666667,6.15,280,0,245
32,-1263.7500000000023,1.5166666666666666,7.925,217,0,245
33,-985.6000000000024,1.2066666666666668,6.093333333333334,233,0,246
34,-1114.2500000000018,1.35,6.921666666666667,218,0,244
35,-985.2000000000014,1.215,5.84,230,0,242
36,-1100.8500000000017,1.3483333333333334,6.505,251,0,242
37,-901.2500000000028,1.135,4.991666666666666,222,0,244
38,-948.5500000000017,1.1733333333333333,5.678333333333334,243,0,246
39,-976.4000000000015,1.1966666666666668,6.056666666666667,201,0,247
40,-965.400000000002,1.2033333333333334,5.48,202,0,246
41,-989.8000000000014,1.2233333333333334,5.843333333333334,229,0,247
42,-1886.2500000000045,1.8916666666666666,19.675,229,0,244
43,-1180.3000000000036,1.4416666666666667,6.913333333333333,286,0,244
44,-1428.2000000000035,1.6283333333333334,10.696666666666667,229,0,244
45,-1056.0500000000013,1.3133333333333332,5.871666666666667,189,0,244
46,-1490.9000000000067,1.635,12.676666666666666,200,0,244
47,-937.1500000000017,1.1583333333333334,5.648333333333333,229,0,246
48,-1219.7500000000034,1.4566666666666668,7.888333333333334,273,0,246
49,-1184.8500000000029,1.4383333333333332,7.165,223,0,244
50,-1083.9000000000028,1.325,6.51,248,0,244
51,-1105.450000000003,1.3466666666666667,6.718333333333334,243,0,246
52,-1315.700000000004,1.5533333333333332,8.756666666666666,295,0,246
53,-1087.950000000002,1.3333333333333333,6.445,241,0,243
54,-1117.3500000000022,1.3516666666666666,6.995,223,0,245
55,-1165.9000000000021,1.415,7.113333333333333,170,0,246
56,-1117.3500000000022,1.3516666666666666,6.995,238,0,245
57,-1290.2000000000037,1.545,8.106666666666667,229,0,243
58,-1082.0000000000023,1.3366666666666667,6.176666666666667,220,0,243
59,-948.5500000000017,1.1733333333333333,5.678333333333334,196,0,246
60,-1023.6500000000013,1.2566666666666666,6.171666666666667,212,0,245
61,-1444.9000000000015,1.575,12.563333333333333,189,0,244
62,-1013.1500000000024,1.2516666666666667,5.891666666666667,233,0,243
63,-1671.4500000000055,1.8833333333333333,12.695,217,0,244
64,-1283.500000000003,1.5116666666666667,8.673333333333334,263,0,244
65,-992.6000000000022,1.2316666666666667,5.706666666666667,187,0,243
66,-948.5500000000017,1.1733333333333333,5.678333333333334,213,0,246
67,-977.9000000000011,1.225,5.3966666666666665,200,0,245
68,-948.5500000000017,1.1733333333333333,5.678333333333334,185,0,246
69,-992.9000000000021,1.2316666666666667,5.706666666666667,245,0,243
70,-1104.400000000003,1.3433333333333333,6.773333333333333,184,0,245
71,-1137.6000000000033,1.3933333333333333,6.69,217,0,246
72,-1111.3500000000022,1.35,6.825,208,0,244
73,-948.5500000000017,1.1733333333333333,5.678333333333334,188,0,246
74,-953.6500000000016,1.1866666666666668,5.548333333333333,179,0,246
75,-948.8500000000016,1.1733333333333333,5.678333333333334,233,0,246
76,-948.8500000000016,1.1733333333333333,5.678333333333334,187,0,246
77,-1125.6000000000024,1.3783333333333334,6.62,169,0,243
78,-1238.1500000000035,1.4816666666666667,7.901666666666666,193,0,244
79,-1173.6500000000026,1.4383333333333332,6.781666666666666,148,0,245
80,-990.1000000000015,1.2233333333333334,5.843333333333334,173,0,247
81,-1074.150000000002,1.32,6.335,163,0,246
82,-948.8500000000016,1.1733333333333333,5.678333333333334,188,0,246
83,-1030.9000000000026,1.2733333333333334,5.983333333333333,145,0,244
84,-939.7500000000028,1.1616666666666666,5.645,123,0,244
85,-948.5500000000017,1.1733333333333333,5.678333333333334,121,0,246
86,-933.7000000000023,1.1583333333333334,5.513333333333334,141,0,243
87,-1121.4000000000021,1.3566666666666667,7.0,201,0,245
88,-1114.2500000000018,1.35,6.921666666666667,195,0,244
89,-1146.6000000000017,1.395,6.92,178,0,243
90,-1117.3500000000022,1.3516666666666666,6.995,230,0,245
91,-1027.6500000000026,1.2716666666666667,5.915,142,0,244
92,-992.6000000000022,1.2316666666666667,5.706666666666667,133,0,243
93,-1334.8000000000043,1.5733333333333333,8.893333333333333,154,0,243
94,-1011.7500000000026,1.255,5.795,143,0,244
95,-1113.7500000000018,1.3566666666666667,6.745,126,0,244
96,-1034.850000000002,1.275,6.065,115,0,243
97,-895.3000000000021,1.115,5.273333333333333,137,0,244
98,-914.850000000001,1.1533333333333333,5.005,152,0,246
99,-1021.7500000000025,1.2466666666666666,6.308333333333334,173,0,243
100,-979.2000000000028,1.1733333333333333,6.61,269,0,244
101,-867.5500000000019,1.0783333333333334,5.198333333333333,243,0,243
102,-914.7500000000017,1.1383333333333334,5.331666666666667,218,0,243
103,-940.7000000000018,1.17,5.466666666666667,222,0,245
104,-895.7000000000019,1.1166666666666667,5.256666666666667,227,0,245
105,-1022.3500000000033,1.2333333333333334,6.598333333333334,251,0,242
106,-668.2500000000013,0.8666666666666667,3.625,235,0,243
107,-1003.8500000000023,1.21,6.541666666666667,314,0,245
108,-960.8000000000021,1.1983333333333333,5.406666666666666,329,0,244
109,-1010.150000000003,1.2183333333333333,6.571666666666666,323,0,243
110,-1031.2000000000019,1.2166666666666666,7.3533333333333335,302,0,243
111,-1081.8000000000036,1.3,7.03,313,0,245
112,-982.000000000003,1.1916666666666667,6.303333333333334,273,0,244
113,-504.34999999999866,0.6766666666666666,2.7416666666666667,239,0,243
114,-838.950000000002,1.055,4.795,270,0,245
115,-894.6000000000028,1.0966666666666667,5.67,292,0,245
116,-1067.3000000000036,1.27,7.216666666666667,370,0,243
117,-923.6500000000021,1.1433333333333333,5.488333333333333,325,0,245
118,-665.7000000000019,0.8416666666666667,4.18,259,0,244
119,-815.6000000000023,1.0266666666666666,4.6866666666666665,338,0,246
120,-815.0000000000024,1.0266666666666666,4.6866666666666665,304,0,246
121,-1239.450000000005,1.435,9.015,282,0,243
122,-820.4000000000021,1.0283333333333333,4.796666666666667,334,0,245
123,-815.0000000000024,1.0266666666666666,4.6866666666666665,307,0,246
